student_pk,person_uid,profile_academic_year,profile_academic_year_desc,profile_academic_period_desc,profile_college,profile_college_desc,profile_residence,profile_residence_desc,profile_high_school_percentile,profile_highest_sat_math,profile_highest_sat_writing,profile_highest_sat_crit_read,profile_highest_act_english,profile_highest_act_math,profile_highest_act_reading,profile_highest_act_sci_reason,profile_highest_act_composite,profile_highest_act_englwrit
1559,1474424,2016,Academic Year 2015-2016,Fall 2015,AE,School of Aero and Astro Engr,N,Non-Resident,99,770,670,600,35,36,34,34,35,29
2623,1477279,2016,Academic Year 2015-2016,Fall 2015,A,College of Agriculture,R,Resident,59,430,500,440,,,,,,
3123,1488996,2016,Academic Year 2015-2016,Fall 2015,AE,School of Aero and Astro Engr,N,Non-Resident,,,,,30,28,27,32,28,29
3541,1489988,2016,Academic Year 2015-2016,Fall 2015,PI,Polytechnic Institute,N,Non-Resident,,610,590,600,,,,,,
1747,1465277,2016,Academic Year 2015-2016,Fall 2015,ME,School of Mechanical Engr,R,Resident,,750,660,660,26,32,34,33,31,25
906,1484150,2016,Fall 2015,Fall 2015,S,College of Science,R,Resident,,,,,,,,,,
3476,1505962,2016,Fall 2015,Fall 2015,US,Exploratory Studies,R,Resident,,500,500,510,,,,,,
5660,1522648,2016,Academic Year 2015-2016,Fall 2015,S,College of Science,F,Foreign,,770,560,550,,,,,,
5024,1511263,2016,Academic Year 2015-2016,Fall 2015,E,First Year Engineering,F,Foreign,,730,580,570,27,35,25,31,30,26
2108,1374329,2016,Academic Year 2015-2016,Fall 2015,CH,School of Chemical Engineering,N,Non-Resident,,,,,32,27,28,26,28,26
5851,1514493,2016,Academic Year 2015-2016,Fall 2015,LA,College of Liberal Arts,F,Foreign,,,,,23,35,30,25,28,23
1727,1484038,2016,Academic Year 2015-2016,Fall 2015,HH,College of Health & Human Sci,R,Resident,76,580,510,550,26,29,33,28,29,25
719,1465089,2016,Academic Year 2015-2016,Fall 2015,US,Exploratory Studies,R,Resident,86,630,500,590,24,26,27,25,26,23
4277,1461426,2016,Academic Year 2015-2016,Fall 2015,S,College of Science,F,Foreign,,710,560,480,,,,,,
4559,1533352,2016,Academic Year 2015-2016,Fall 2015,S,College of Science,F,Foreign,,680,580,540,,,,,,
